N,P,K,ph,crop
91,49,40,6.01,wheat
86,49,40,6.02,wheat
37,75,19,5.75,millet
149,13,12,7.57,barley
79,57,58,6.57,maize
148,17,15,7.75,barley
185,75,30,6.87,soybean
100,38,38,5.44,rice
179,60,66,6.08,sugarcane
79,59,56,6.73,maize
112,32,39,5.16,rice
90,46,46,6.04,wheat
149,13,11,7.71,barley
117,32,35,5.12,rice
60,57,53,6.93,maize
33,68,12,5.73,millet
32,65,15,5.85,millet
82,42,45,6.41,wheat
130,21,22,7.42,cotton
143,19,13,7.95,barley
162,66,64,6.15,sugarcane
171,63,62,6.13,sugarcane
109,32,34,5.26,rice
147,19,18,7.91,barley
26,67,10,5.96,millet
72,59,58,6.93,maize
210,90,59,5.27,chickpea
39,71,10,5.91,millet
102,30,32,5.21,rice
198,78,35,7.02,soybean
90,46,49,6.11,wheat
56,81,24,5.04,lentil
80,49,48,6.24,wheat
108,30,39,5.39,rice
196,79,33,7.16,soybean
134,26,27,7.29,cotton
86,48,46,6.43,wheat
161,62,67,6.24,sugarcane
207,94,54,5.3,chickpea
132,21,26,7.0,cotton
157,10,12,7.95,barley
153,15,16,7.83,barley
175,68,69,6.17,sugarcane
57,89,29,5.11,lentil
122,26,23,7.39,cotton
98,48,49,6.43,wheat
149,15,11,7.57,barley
201,95,56,5.43,chickpea
109,39,32,5.25,rice
50,82,21,5.37,lentil
91,49,44,6.1,wheat
58,97,25,5.05,lentil
149,12,15,7.79,barley
21,63,18,5.98,millet
141,10,12,7.58,barley
130,25,21,7.34,cotton
139,28,28,7.5,cotton
152,14,18,7.96,barley
204,92,53,5.59,chickpea
33,64,10,5.77,millet
48,81,23,5.37,lentil
85,42,41,6.11,wheat
107,31,36,5.05,rice
161,64,68,6.17,sugarcane
180,71,37,6.87,soybean
138,29,27,7.19,cotton
101,39,35,5.03,rice
152,12,16,7.76,barley
67,54,55,6.71,maize
146,17,19,7.61,barley
215,96,59,5.56,chickpea
133,26,29,7.31,cotton
121,25,28,7.03,cotton
130,26,23,7.34,cotton
55,81,22,5.01,lentil
181,71,33,7.07,soybean
45,89,28,5.06,lentil
186,71,30,6.84,soybean
186,72,30,7.15,soybean
35,66,16,5.89,millet
194,73,31,7.08,soybean
57,84,29,5.25,lentil
100,30,37,5.06,rice
200,92,54,5.56,chickpea
199,77,38,7.18,soybean
34,72,19,5.97,millet
162,68,60,6.0,sugarcane
199,73,37,7.0,soybean
162,60,69,6.02,sugarcane
81,48,45,6.36,wheat
46,96,23,5.05,lentil
97,45,48,6.14,wheat
133,25,26,7.33,cotton
139,26,22,7.12,cotton
114,36,31,5.22,rice
64,52,57,6.63,maize
92,43,46,6.33,wheat
84,43,42,6.03,wheat
49,93,24,5.27,lentil
202,96,50,5.43,chickpea
111,39,37,5.14,rice
133,24,22,7.48,cotton
200,93,57,5.28,chickpea
82,43,48,6.15,wheat
168,64,65,6.38,sugarcane
99,48,41,6.13,wheat
163,68,61,6.39,sugarcane
217,90,50,5.58,chickpea
138,20,23,7.29,cotton
61,52,57,6.8,maize
157,18,18,7.99,barley
176,67,61,6.01,sugarcane
175,65,61,6.1,sugarcane
146,18,15,7.8,barley
158,17,15,7.57,barley
195,70,35,6.93,soybean
160,62,68,6.35,sugarcane
161,62,67,6.2,sugarcane
187,77,36,7.1,soybean
81,46,44,6.5,wheat
192,73,36,6.96,soybean
173,63,61,6.35,sugarcane
164,65,67,6.21,sugarcane
24,60,11,5.75,millet
67,58,58,6.92,maize
43,94,20,5.49,lentil
211,92,53,5.38,chickpea
122,24,27,7.29,cotton
81,49,44,6.16,wheat
139,24,28,7.06,cotton
157,18,16,7.99,barley
133,20,24,7.08,cotton
78,51,58,6.78,maize
98,46,42,6.31,wheat
93,45,40,6.09,wheat
42,91,21,5.32,lentil
57,84,26,5.13,lentil
148,11,18,7.77,barley
174,61,66,6.17,sugarcane
148,14,17,7.83,barley
177,66,68,6.32,sugarcane
206,95,54,5.27,chickpea
128,26,24,7.09,cotton
22,64,16,5.94,millet
82,48,47,6.08,wheat
146,10,13,7.88,barley
42,92,25,5.02,lentil
129,25,26,7.11,cotton
183,73,38,6.83,soybean
131,26,28,7.49,cotton
185,74,35,6.86,soybean
81,42,45,6.0,wheat
105,32,33,5.16,rice
207,92,53,5.47,chickpea
100,34,37,5.47,rice
58,98,28,5.16,lentil
156,10,10,7.8,barley
163,66,67,6.33,sugarcane
142,17,11,7.94,barley
155,16,16,7.88,barley
136,23,22,7.09,cotton
51,91,22,5.37,lentil
168,60,61,6.3,sugarcane
42,82,21,5.19,lentil
173,63,64,6.09,sugarcane
196,70,36,6.94,soybean
168,62,68,6.25,sugarcane
129,29,22,7.49,cotton
59,99,20,5.4,lentil
54,88,27,5.15,lentil
48,98,26,5.03,lentil
193,70,39,7.1,soybean
205,97,56,5.33,chickpea
206,92,55,5.27,chickpea
103,32,30,5.03,rice
78,56,56,6.9,maize
122,21,27,7.43,cotton
139,21,28,7.33,cotton
214,98,51,5.38,chickpea
137,22,22,7.22,cotton
118,39,30,5.23,rice
193,70,37,7.04,soybean
150,19,15,7.58,barley
189,72,30,6.84,soybean
80,41,47,6.22,wheat
93,40,49,6.24,wheat
52,86,26,5.42,lentil
206,91,59,5.22,chickpea
133,20,23,7.06,cotton
188,70,37,6.81,soybean
152,13,13,7.77,barley
148,19,18,7.79,barley
197,76,35,7.19,soybean
151,11,10,7.71,barley
29,64,18,5.58,millet
147,14,14,7.63,barley
111,37,35,5.1,rice
113,38,37,5.49,rice
23,60,15,5.76,millet
160,63,64,6.27,sugarcane
80,49,48,6.3,wheat
76,57,56,6.81,maize
190,79,32,7.2,soybean
125,26,20,7.16,cotton
143,11,14,7.99,barley
55,90,21,5.25,lentil
92,46,48,6.35,wheat
49,86,26,5.47,lentil
105,31,30,5.21,rice
80,49,43,6.1,wheat
121,23,28,7.15,cotton
25,74,10,5.75,millet
195,79,39,7.18,soybean
118,30,37,5.29,rice
216,97,51,5.24,chickpea
99,41,48,6.21,wheat
72,59,55,6.7,maize
164,65,63,6.3,sugarcane
116,30,39,5.38,rice
113,33,30,5.11,rice
36,69,14,5.52,millet
190,72,34,6.88,soybean
108,39,38,5.32,rice
203,99,59,5.33,chickpea
188,70,32,6.83,soybean
21,61,19,5.56,millet
89,46,48,6.07,wheat
40,88,29,5.22,lentil
20,72,15,5.53,millet
194,78,33,7.19,soybean
178,65,68,6.36,sugarcane
176,68,68,6.17,sugarcane
142,15,18,7.89,barley
117,34,38,5.13,rice
60,55,50,6.74,maize
109,36,30,5.17,rice
170,60,60,6.05,sugarcane
96,40,40,6.16,wheat
94,42,45,6.19,wheat
124,22,29,7.13,cotton
199,74,36,7.12,soybean
54,98,25,5.36,lentil
165,61,68,6.28,sugarcane
135,29,29,7.19,cotton
63,58,59,6.85,maize
76,58,59,6.91,maize
146,15,17,7.8,barley
185,73,31,6.86,soybean
95,44,44,6.2,wheat
170,63,65,6.16,sugarcane
141,11,19,7.94,barley
29,72,13,5.51,millet
145,15,13,7.6,barley
75,54,58,6.63,maize
156,11,11,7.52,barley
65,55,53,6.79,maize
174,65,64,6.31,sugarcane
117,38,30,5.01,rice
71,56,55,6.93,maize
152,12,16,7.76,barley
38,65,14,5.68,millet
55,83,27,5.29,lentil
54,89,20,5.11,lentil
187,78,37,6.88,soybean
107,38,34,5.1,rice
76,50,59,6.65,maize
185,74,32,6.89,soybean
72,55,51,6.96,maize
46,90,22,5.32,lentil
39,68,18,5.94,millet
80,40,45,6.15,wheat
150,17,15,7.68,barley
103,35,36,5.44,rice
150,11,16,7.88,barley
36,69,15,5.79,millet
54,97,20,5.36,lentil
188,72,34,7.19,soybean
98,40,42,6.37,wheat
53,83,21,5.47,lentil
30,70,17,5.87,millet
122,21,22,7.32,cotton
170,69,65,6.1,sugarcane
74,51,58,6.57,maize
72,52,50,6.6,maize
49,98,25,5.33,lentil
125,23,23,7.06,cotton
87,45,45,6.29,wheat
182,71,36,6.82,soybean
75,55,52,6.57,maize
165,63,63,6.28,sugarcane
99,40,43,6.13,wheat
119,36,30,5.16,rice
164,66,61,6.21,sugarcane
148,12,19,7.97,barley
86,43,40,6.04,wheat
37,75,17,5.59,millet
145,16,10,7.52,barley
102,39,34,5.33,rice
98,42,41,6.12,wheat
152,12,13,7.71,barley
79,51,53,6.65,maize
49,80,26,5.14,lentil
157,18,16,7.69,barley
64,51,50,6.56,maize
81,46,43,6.01,wheat
137,24,21,7.18,cotton
138,26,22,7.24,cotton
170,63,63,6.32,sugarcane
57,87,23,5.45,lentil
112,31,35,5.05,rice
22,75,10,5.72,millet
64,57,59,6.9,maize
174,69,60,6.21,sugarcane
118,38,39,5.27,rice
98,48,40,6.16,wheat
203,92,51,5.46,chickpea
87,46,41,6.46,wheat
104,39,34,5.11,rice
124,20,26,7.29,cotton
192,71,34,7.15,soybean
145,18,19,7.98,barley
176,61,62,6.36,sugarcane
197,70,39,7.05,soybean
97,48,48,6.05,wheat
149,12,11,7.56,barley
205,94,53,5.54,chickpea
133,27,28,7.22,cotton
124,27,29,7.07,cotton
50,90,20,5.24,lentil
33,75,17,5.96,millet
179,66,67,6.39,sugarcane
129,21,23,7.38,cotton
79,56,51,6.6,maize
108,30,33,5.35,rice
176,69,65,6.37,sugarcane
74,59,59,6.74,maize
143,10,15,7.94,barley
206,98,55,5.38,chickpea
184,79,31,6.97,soybean
45,98,22,5.33,lentil
141,12,17,7.83,barley
30,71,13,5.62,millet
58,92,25,5.29,lentil
86,49,48,6.14,wheat
54,95,23,5.29,lentil
77,54,50,6.96,maize
70,59,58,6.63,maize
166,65,60,6.26,sugarcane
214,93,54,5.45,chickpea
214,95,57,5.54,chickpea
149,15,10,7.54,barley
91,43,47,6.03,wheat
105,30,34,5.23,rice
54,85,24,5.3,lentil
77,55,56,6.94,maize
144,16,15,7.54,barley
157,17,12,7.77,barley
47,92,25,5.38,lentil
20,63,15,5.56,millet
156,11,19,7.95,barley
76,54,51,6.95,maize
84,42,49,6.49,wheat
197,79,30,6.91,soybean
177,60,62,6.08,sugarcane
203,94,55,5.46,chickpea
213,91,58,5.4,chickpea
140,18,10,7.74,barley
48,91,25,5.3,lentil
205,99,59,5.43,chickpea
112,39,33,5.14,rice
28,60,10,5.61,millet
120,26,24,7.24,cotton
202,92,56,5.31,chickpea
56,91,22,5.07,lentil
133,20,28,7.37,cotton
114,30,34,5.12,rice
79,55,53,6.77,maize
160,69,65,6.17,sugarcane
181,79,39,6.86,soybean
110,33,31,5.39,rice
191,75,32,7.12,soybean
145,10,14,7.61,barley
182,72,30,7.07,soybean
130,26,24,7.06,cotton
31,61,14,5.67,millet
129,20,20,7.06,cotton
149,16,10,7.73,barley
189,79,32,6.91,soybean
145,19,18,7.79,barley
111,34,37,5.44,rice
120,20,22,7.35,cotton
180,72,36,7.04,soybean
128,24,29,7.48,cotton
65,55,56,6.96,maize
115,33,38,5.06,rice
215,96,58,5.53,chickpea
192,79,34,6.86,soybean
149,12,10,7.94,barley
38,64,11,5.6,millet
134,27,20,7.01,cotton
157,15,13,7.84,barley
217,96,50,5.27,chickpea
177,61,67,6.26,sugarcane
175,64,66,6.25,sugarcane
184,78,38,6.88,soybean
96,40,49,6.34,wheat
73,50,51,6.53,maize
34,68,18,5.67,millet
194,74,30,6.86,soybean
54,89,24,5.2,lentil
148,18,15,7.98,barley
146,19,18,7.66,barley
50,97,26,5.07,lentil
55,87,26,5.33,lentil
45,84,24,5.05,lentil
114,35,36,5.07,rice
152,16,12,7.58,barley
148,10,12,7.7,barley
39,73,14,5.51,millet
201,98,51,5.44,chickpea
96,43,45,6.09,wheat
218,93,50,5.32,chickpea
42,93,22,5.23,lentil
168,65,68,6.0,sugarcane
161,66,69,6.08,sugarcane
113,33,32,5.25,rice
74,58,51,6.65,maize
212,96,56,5.27,chickpea
64,51,50,6.72,maize
73,52,58,6.74,maize
74,51,52,6.52,maize
192,70,31,6.97,soybean
120,25,21,7.03,cotton
85,48,45,6.33,wheat
215,96,50,5.21,chickpea
30,64,17,5.74,millet
68,53,58,6.69,maize
130,27,21,7.28,cotton
64,54,58,6.98,maize
143,10,12,7.6,barley
137,22,21,7.03,cotton
141,15,10,7.98,barley
62,50,59,6.51,maize
193,71,31,6.96,soybean
119,37,35,5.12,rice
94,40,44,6.07,wheat
212,92,52,5.36,chickpea
123,26,24,7.34,cotton
99,44,44,6.41,wheat
87,49,42,6.26,wheat
126,27,23,7.47,cotton
127,23,23,7.44,cotton
61,52,51,6.7,maize
116,37,32,5.22,rice
64,55,54,6.87,maize
199,78,35,6.82,soybean
101,32,34,5.0,rice
203,94,52,5.41,chickpea
142,11,13,7.7,barley
22,78,18,5.9,millet
20,76,18,5.87,millet
76,56,55,6.53,maize
67,52,59,6.67,maize
78,53,59,6.87,maize
88,42,42,6.02,wheat
206,91,59,5.51,chickpea
88,46,46,6.44,wheat
61,51,58,6.51,maize
150,15,18,7.75,barley
207,96,55,5.28,chickpea
89,46,49,6.04,wheat
34,70,11,5.81,millet
157,13,16,7.93,barley
174,65,62,6.12,sugarcane
95,46,44,6.3,wheat
99,40,45,6.13,wheat
163,66,69,6.27,sugarcane
140,10,17,7.66,barley
21,78,11,5.79,millet
207,91,52,5.33,chickpea
87,41,48,6.27,wheat
181,75,35,6.91,soybean
203,95,51,5.35,chickpea
185,71,36,6.82,soybean
181,79,32,7.05,soybean
155,11,17,7.7,barley
105,30,30,5.11,rice
167,60,60,6.31,sugarcane
194,75,34,7.14,soybean
57,82,26,5.3,lentil
119,37,31,5.29,rice
108,30,30,5.27,rice
198,74,36,7.16,soybean
138,27,27,7.39,cotton
201,94,53,5.57,chickpea
49,99,20,5.12,lentil
149,15,13,7.72,barley
77,55,50,6.85,maize
29,66,16,5.79,millet
57,86,22,5.31,lentil
69,51,56,6.69,maize
155,15,11,7.62,barley
50,84,22,5.1,lentil
204,99,56,5.44,chickpea
197,73,38,7.07,soybean
147,19,18,7.82,barley
97,45,48,6.1,wheat
22,61,15,6.0,millet
76,58,52,6.72,maize
45,97,25,5.1,lentil
143,13,18,7.97,barley
176,62,67,6.02,sugarcane
28,79,10,5.58,millet
199,70,37,6.94,soybean
155,13,15,7.67,barley
112,32,37,5.05,rice
92,48,43,6.33,wheat
108,34,33,5.39,rice
169,61,66,6.14,sugarcane
123,25,22,7.14,cotton
185,76,36,6.86,soybean
93,47,49,6.33,wheat
195,71,30,7.13,soybean
49,83,21,5.1,lentil
149,11,17,7.69,barley
152,17,11,7.95,barley
85,44,41,6.4,wheat
52,82,23,5.38,lentil
44,84,22,5.27,lentil
165,68,64,6.28,sugarcane
193,77,38,7.11,soybean
57,91,26,5.28,lentil
64,53,59,6.51,maize
52,80,20,5.46,lentil
171,68,67,6.11,sugarcane
206,93,59,5.28,chickpea
85,43,47,6.03,wheat
142,16,10,7.73,barley
165,65,66,6.04,sugarcane
139,29,26,7.35,cotton
95,46,40,6.22,wheat
132,22,22,7.26,cotton
46,96,24,5.3,lentil
107,31,32,5.12,rice
53,96,26,5.09,lentil
188,70,36,6.91,soybean
46,99,29,5.27,lentil
174,66,66,6.08,sugarcane
79,56,59,6.83,maize
50,88,28,5.21,lentil
101,31,37,5.15,rice
172,62,62,6.02,sugarcane
192,70,39,7.08,soybean
98,47,48,6.19,wheat
196,78,31,6.9,soybean
167,65,63,6.32,sugarcane
65,58,52,6.82,maize
152,17,11,7.99,barley
113,35,35,5.11,rice
180,71,36,6.99,soybean
136,23,24,7.29,cotton
76,53,58,6.75,maize
120,26,29,7.43,cotton
195,71,33,7.06,soybean
41,95,23,5.41,lentil
148,18,16,7.95,barley
28,69,13,5.55,millet
184,76,35,7.01,soybean
113,37,37,5.37,rice
191,71,35,6.87,soybean
135,25,24,7.09,cotton
99,43,48,6.11,wheat
110,34,30,5.25,rice
115,31,38,5.14,rice
46,93,23,5.34,lentil
140,15,16,7.74,barley
71,52,53,6.99,maize
190,75,34,7.0,soybean
120,23,28,7.41,cotton
63,51,51,6.79,maize
26,60,10,5.82,millet
40,92,23,5.07,lentil
49,92,25,5.09,lentil
210,93,58,5.49,chickpea
20,70,13,5.86,millet
167,68,60,6.17,sugarcane
202,98,56,5.23,chickpea
61,50,56,6.82,maize
106,31,38,5.32,rice
64,53,58,6.77,maize
28,68,12,5.68,millet
106,38,35,5.37,rice
160,60,67,6.19,sugarcane
113,32,36,5.01,rice
157,10,17,7.78,barley
26,70,12,5.99,millet
205,93,51,5.59,chickpea
214,96,50,5.53,chickpea
136,23,24,7.16,cotton
127,28,22,7.39,cotton
28,69,12,5.92,millet
189,71,31,6.82,soybean
60,58,50,6.58,maize
33,70,11,5.68,millet
67,55,53,6.98,maize
118,33,34,5.24,rice
150,15,11,7.5,barley
152,17,11,7.56,barley
215,99,58,5.27,chickpea
30,74,16,5.73,millet
128,25,20,7.17,cotton
91,44,45,6.49,wheat
74,54,50,6.92,maize
108,34,37,5.17,rice
89,46,43,6.25,wheat
100,37,36,5.47,rice
83,46,47,6.19,wheat
140,10,19,7.74,barley
118,35,38,5.27,rice
75,58,52,6.74,maize
57,88,29,5.01,lentil
78,52,52,6.81,maize
143,13,18,7.76,barley
90,42,49,6.37,wheat
43,80,22,5.11,lentil
172,63,68,6.01,sugarcane
62,56,58,6.87,maize
31,73,18,5.66,millet
110,33,33,5.4,rice
80,43,48,6.01,wheat
101,34,39,5.49,rice
112,34,30,5.14,rice
180,75,30,6.92,soybean
195,77,36,7.03,soybean
85,41,45,6.0,wheat
133,27,27,7.28,cotton
109,31,32,5.01,rice
210,98,58,5.6,chickpea
167,66,66,6.36,sugarcane
184,78,36,7.08,soybean
48,94,29,5.02,lentil
99,49,49,6.29,wheat
205,90,55,5.46,chickpea
171,66,64,6.39,sugarcane
107,36,32,5.33,rice
179,68,66,6.3,sugarcane
129,21,27,7.48,cotton
34,69,19,5.61,millet
101,36,35,5.33,rice
112,32,39,5.29,rice
70,55,59,6.54,maize
217,98,57,5.47,chickpea
103,39,37,5.42,rice
146,10,17,7.8,barley
79,56,52,6.67,maize
185,79,37,6.91,soybean
58,99,27,5.37,lentil
166,62,63,6.3,sugarcane
42,82,27,5.24,lentil
93,48,44,6.0,wheat
186,70,39,7.18,soybean
82,45,49,6.31,wheat
131,22,29,7.3,cotton
118,35,31,5.04,rice
23,78,10,5.95,millet
100,37,36,5.26,rice
124,28,29,7.29,cotton
190,73,39,6.93,soybean
212,90,55,5.43,chickpea
216,95,59,5.27,chickpea
198,70,33,6.89,soybean
207,96,59,5.42,chickpea
182,78,34,7.0,soybean
86,41,49,6.36,wheat
79,56,50,6.67,maize
163,60,60,6.01,sugarcane
136,22,25,7.49,cotton
57,95,26,5.34,lentil
162,68,61,6.09,sugarcane
209,93,53,5.27,chickpea
42,97,25,5.37,lentil
171,67,60,6.02,sugarcane
178,68,67,6.32,sugarcane
213,93,52,5.48,chickpea
72,58,56,6.86,maize
101,32,30,5.02,rice
186,72,35,7.03,soybean
201,95,53,5.21,chickpea
105,31,31,5.44,rice
126,26,26,7.3,cotton
37,71,13,5.76,millet
190,70,37,6.83,soybean
200,92,53,5.46,chickpea
36,60,18,5.65,millet
96,45,41,6.38,wheat
20,69,18,5.65,millet
162,60,69,6.09,sugarcane
128,28,24,7.26,cotton
120,25,28,7.09,cotton
131,28,27,7.46,cotton
61,55,50,6.7,maize
131,22,20,7.49,cotton
118,30,37,5.15,rice
121,28,22,7.43,cotton
56,98,22,5.23,lentil
208,90,53,5.22,chickpea
111,32,30,5.48,rice
132,28,28,7.07,cotton
89,43,48,6.06,wheat
81,40,47,6.07,wheat
147,19,13,7.5,barley
187,76,32,7.03,soybean
213,96,50,5.37,chickpea
26,60,14,5.81,millet
82,41,40,6.45,wheat
100,36,30,5.12,rice
163,60,66,6.39,sugarcane
210,96,50,5.23,chickpea
20,74,10,5.95,millet
141,12,10,7.64,barley
85,46,49,6.38,wheat
205,95,50,5.55,chickpea
193,70,33,6.95,soybean
102,32,38,5.37,rice
152,19,10,7.54,barley
192,76,32,7.2,soybean
65,54,54,6.72,maize
169,67,66,6.34,sugarcane
195,77,34,7.1,soybean
166,68,65,6.22,sugarcane
124,25,22,7.38,cotton
195,70,35,7.08,soybean
58,90,29,5.32,lentil
127,27,22,7.25,cotton
119,34,36,5.13,rice
106,30,38,5.27,rice
86,47,44,6.03,wheat
138,26,26,7.12,cotton
208,99,51,5.21,chickpea
209,97,55,5.3,chickpea
210,94,56,5.38,chickpea
24,70,12,5.97,millet
187,70,34,6.93,soybean
145,17,17,7.78,barley
142,18,17,7.94,barley
183,72,31,6.93,soybean
114,33,33,5.19,rice
192,70,32,6.81,soybean
110,37,39,5.14,rice
212,97,59,5.43,chickpea
148,10,19,7.92,barley
211,96,52,5.35,chickpea
72,54,58,6.59,maize
139,29,27,7.26,cotton
217,90,57,5.28,chickpea
197,76,32,7.05,soybean
204,93,58,5.29,chickpea
35,73,10,5.51,millet
149,10,14,7.68,barley
174,63,61,6.25,sugarcane
132,29,21,7.14,cotton
67,54,56,6.83,maize
190,76,33,6.93,soybean
38,69,14,5.74,millet
129,24,26,7.09,cotton
47,94,29,5.45,lentil
161,65,65,6.36,sugarcane
134,25,27,7.34,cotton
76,59,51,6.57,maize
157,15,19,7.69,barley
184,76,34,6.83,soybean
129,21,21,7.11,cotton
142,15,17,7.5,barley
107,39,33,5.4,rice
33,66,12,5.96,millet
211,97,57,5.27,chickpea
165,65,62,6.08,sugarcane
61,52,56,6.59,maize
67,50,50,6.54,maize
96,46,49,6.21,wheat
112,33,31,5.1,rice
28,60,19,5.79,millet
68,51,52,6.85,maize
188,74,33,6.91,soybean
25,73,11,5.75,millet
132,29,25,7.29,cotton
150,19,10,7.64,barley
87,44,49,6.05,wheat
102,37,36,5.34,rice
104,30,30,5.29,rice
211,99,59,5.55,chickpea
123,26,26,7.41,cotton
137,24,27,7.47,cotton
108,34,34,5.11,rice
97,40,49,6.06,wheat
118,33,37,5.35,rice
99,46,41,6.21,wheat
64,50,53,6.55,maize
178,61,62,6.27,sugarcane
164,61,68,6.4,sugarcane
179,64,61,6.13,sugarcane
130,21,27,7.08,cotton
74,59,54,6.6,maize
65,58,56,6.6,maize
104,31,37,5.13,rice
158,13,16,7.67,barley
179,66,69,6.37,sugarcane
159,18,17,7.79,barley
68,56,59,6.6,maize
190,78,30,7.08,soybean
209,91,59,5.49,chickpea
212,92,54,5.34,chickpea
174,60,62,6.38,sugarcane
141,16,12,7.58,barley
85,42,42,6.19,wheat
124,20,29,7.34,cotton
63,56,54,6.58,maize
137,29,29,7.08,cotton
29,64,13,5.73,millet
167,61,64,6.32,sugarcane
51,98,27,5.12,lentil
122,23,29,7.17,cotton
72,54,58,6.7,maize
184,77,39,7.09,soybean
99,43,42,6.03,wheat
144,17,10,7.71,barley
83,44,48,6.15,wheat
96,41,49,6.08,wheat
219,96,56,5.34,chickpea
129,20,25,7.06,cotton
107,33,35,5.33,rice
148,11,12,7.65,barley
194,73,35,7.13,soybean
172,62,65,6.18,sugarcane
80,49,41,6.48,wheat
178,61,60,6.08,sugarcane
196,74,37,6.92,soybean
24,73,12,5.65,millet
74,59,54,6.84,maize
88,41,44,6.12,wheat
186,79,30,7.08,soybean
158,10,13,7.55,barley
179,69,64,6.07,sugarcane
185,75,31,7.1,soybean
116,30,30,5.15,rice
213,94,54,5.56,chickpea
85,42,41,6.44,wheat
107,30,30,5.03,rice
42,94,25,5.3,lentil
158,13,12,7.63,barley
162,63,63,6.24,sugarcane
27,72,16,5.93,millet
54,97,26,5.46,lentil
111,39,36,5.28,rice
69,50,50,6.62,maize
116,34,38,5.29,rice
89,49,43,6.39,wheat
79,50,58,6.85,maize
173,67,60,6.08,sugarcane
201,99,53,5.22,chickpea
114,37,36,5.18,rice
127,28,24,7.42,cotton
107,32,34,5.25,rice
138,26,27,7.24,cotton
56,90,23,5.42,lentil
134,22,24,7.32,cotton
182,79,37,7.03,soybean
179,61,66,6.22,sugarcane
170,68,62,6.27,sugarcane
166,63,64,6.23,sugarcane
102,32,31,5.4,rice
169,69,65,6.2,sugarcane
181,70,35,6.85,soybean
72,59,53,6.64,maize
193,72,39,6.88,soybean
101,36,33,5.03,rice
188,76,39,6.88,soybean
207,97,50,5.48,chickpea
21,66,18,5.74,millet
125,25,23,7.34,cotton
216,99,57,5.36,chickpea
118,34,31,5.22,rice
139,26,27,7.39,cotton
199,70,36,6.82,soybean
34,65,19,5.91,millet
175,60,68,6.2,sugarcane
173,61,64,6.29,sugarcane
168,62,67,6.34,sugarcane
28,78,10,5.81,millet
164,69,60,6.08,sugarcane
155,11,10,7.81,barley
124,25,25,7.31,cotton
59,82,27,5.39,lentil
98,42,44,6.34,wheat
83,45,42,6.14,wheat
66,55,56,6.9,maize
27,73,15,5.98,millet
210,93,59,5.57,chickpea
142,11,16,7.6,barley
165,61,60,6.1,sugarcane
106,34,38,5.39,rice
194,77,35,6.85,soybean
46,97,22,5.32,lentil
80,43,44,6.27,wheat
176,68,64,6.38,sugarcane
113,34,32,5.49,rice
202,95,57,5.27,chickpea
75,52,51,6.63,maize
190,77,31,7.05,soybean
94,47,48,6.18,wheat
38,61,10,5.66,millet
198,75,35,6.98,soybean
89,42,46,6.06,wheat
123,28,21,7.33,cotton
38,61,14,5.86,millet
141,13,11,7.99,barley
209,98,59,5.33,chickpea
70,59,50,6.97,maize
57,91,22,5.25,lentil
97,47,45,6.46,wheat
169,61,65,6.39,sugarcane
178,64,62,6.04,sugarcane
137,27,21,7.4,cotton
119,38,34,5.18,rice
155,18,16,7.85,barley
27,65,10,5.84,millet
173,64,61,6.12,sugarcane
165,60,68,6.02,sugarcane
131,23,22,7.11,cotton
65,55,52,6.97,maize
111,39,33,5.48,rice
88,48,49,6.47,wheat
145,17,13,7.66,barley
211,95,59,5.26,chickpea
97,46,44,6.05,wheat
32,63,12,5.82,millet
113,33,35,5.15,rice
177,63,65,6.05,sugarcane
157,11,11,7.95,barley
205,90,54,5.27,chickpea
34,75,13,5.62,millet
161,68,68,6.03,sugarcane
213,90,53,5.48,chickpea
215,91,56,5.53,chickpea
213,98,57,5.43,chickpea
162,61,64,6.24,sugarcane
109,36,33,5.04,rice
89,49,48,6.09,wheat
37,74,18,5.7,millet
60,53,59,6.61,maize
193,74,37,7.01,soybean
27,66,17,5.8,millet
99,46,46,6.25,wheat
174,69,66,6.29,sugarcane
188,76,33,6.97,soybean
168,62,63,6.15,sugarcane
67,51,55,6.81,maize
43,96,24,5.12,lentil
126,24,20,7.3,cotton
114,32,32,5.45,rice
35,70,15,5.87,millet
194,79,30,6.83,soybean
132,21,21,7.29,cotton
100,37,36,5.14,rice
159,14,18,7.59,barley
133,24,25,7.08,cotton
147,10,18,7.87,barley
213,94,50,5.45,chickpea
99,40,47,6.41,wheat
130,29,21,7.04,cotton
131,29,26,7.48,cotton
82,46,41,6.23,wheat
37,63,12,5.96,millet
131,25,20,7.42,cotton
190,72,30,6.85,soybean
31,68,17,5.98,millet
158,19,16,7.84,barley
38,72,16,5.68,millet
48,80,29,5.23,lentil
83,43,43,6.12,wheat
20,68,18,5.89,millet
101,35,32,5.44,rice
66,54,58,6.62,maize
52,84,27,5.47,lentil
78,55,57,6.89,maize
196,70,38,6.86,soybean
183,75,32,7.05,soybean
62,57,57,6.75,maize
155,13,11,7.88,barley
28,74,12,5.98,millet
181,70,34,6.92,soybean
131,20,23,7.44,cotton
210,96,53,5.54,chickpea
184,73,30,7.11,soybean
219,93,56,5.3,chickpea
140,19,12,7.74,barley
85,43,41,6.2,wheat
186,78,38,6.85,soybean
154,13,16,7.57,barley
159,14,13,7.71,barley
78,57,56,6.75,maize
88,46,46,6.09,wheat
39,71,13,5.77,millet
170,61,64,6.08,sugarcane
143,18,10,7.66,barley
135,23,20,7.05,cotton
